N	K	c_type	y_type	corr_cy	signal_r2	confound_r2	verbose	tolerance	ki	before_after	sim_nr	corr_xy	scorr_xy	scorr_xc	subsample_perc
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	0	before	0	0.45164620793460886	0.0697184548417927	0.35451447262038527	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	1	before	0	0.4513855817272991	0.06801079730604985	0.35670133557301514	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	2	before	0	0.45101586542506505	0.06601634828877156	0.35915637335096146	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	3	before	0	0.4518977356724466	0.05846580783760871	0.371397341529859	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	4	before	0	0.45145198160029065	0.06610276682257121	0.3596162620812161	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	0	after	0	0.27526147641154497	0.10841006193600346	0.601560426345278	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	1	after	0	-0.004125889025273319	-0.1924856198849639	0.5392472385137272	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	2	after	0	0.35646492015280723	0.23099104950884763	0.49121612743694076	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	3	after	0	0.2577471038847836	0.1378860493047796	0.39825852577997306	-0.81
200	5	continuous	binary	0.65	0.004	0.2	False	0.001	4	after	0	0.20535312936144326	0.12485310832295463	0.2371853878006406	-0.81
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	0	before	0	0.5034903646836003	0.0706228005906172	0.4259602372714916	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	1	before	0	0.5033366524359293	0.06252537959967272	0.4371506191823471	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	2	before	0	0.5043738470243924	0.06418109506848804	0.43640578486733933	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	3	before	0	0.5038070206718571	0.056686537715225034	0.4459219846366374	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	4	before	0	0.5038345642931777	0.07049807809604812	0.4266620728414347	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	0	after	0	0.1646918564959952	0.03494188372977296	0.4329996342633028	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	1	after	0	0.21279580898781084	0.1211370263320411	0.29819511611061844	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	2	after	0	0.13349658295988565	-0.1179262446792937	0.7173447273036627	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	3	after	0	0.2954929186459263	0.1631595575397364	0.5108882146946683	-0.83
200	5	continuous	binary	0.65	0.004	0.25	False	0.001	4	after	0	0.17742082575376675	0.041236928191529486	0.45842604039539514	-0.83
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	0	before	0	0.5507746151219058	0.06439344427587812	0.5123683959608399	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	1	before	0	0.550885611243958	0.06189069756059847	0.5158067013930131	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	2	before	0	0.5521991900369883	0.0679807943172713	0.510147317589892	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	3	before	0	0.5519507911886814	0.05780303241685897	0.5228704802498616	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	4	before	0	0.5504812130660451	0.0649917737316291	0.5110785634692929	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	0	after	0	0.2697589038113352	0.06264530437586718	0.6430536248272049	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	1	after	0	0.3443840407943736	0.16081538169468512	0.669595780897934	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	2	after	0	0.29749404759081083	0.10068995103850716	0.6429783917122566	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	3	after	0	0.3569960122184915	0.18755073304332168	0.6227931759200667	-0.86
200	5	continuous	binary	0.65	0.004	0.30000000000000004	False	0.001	4	after	0	0.30125302636675094	0.10015600253126423	0.662593746257009	-0.86
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	0	before	0	0.5952354581668367	0.06796660360657093	0.5907780371247341	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	1	before	0	0.5942700754582464	0.060217829661776995	0.5977703233010365	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	2	before	0	0.5943729246338082	0.06963438457676688	0.5870223520568512	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	3	before	0	0.5943751310732822	0.06040966985591516	0.5977649103538292	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	4	before	0	0.5950299274389569	0.05871938104673902	0.6009942644139444	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	0	after	0	0.31174595927361326	0.09667711799424969	0.7509872519090216	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	1	after	0	0.29187278320509646	0.08581168541476122	0.6844408820385739	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	2	after	0	0.2779018726652719	0.060603617526155125	0.6979539190381953	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	3	after	0	0.3857904972662677	0.22428296312076032	0.7820370142940187	-0.84
200	5	continuous	binary	0.65	0.004	0.35000000000000003	False	0.001	4	after	0	0.07399826483631877	-0.23123255305180165	0.7130046094938591	-0.84
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	0	before	0	0.31748303179960013	0.3171901211567687	-0.21739272925019854	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	1	before	0	0.31764429045977544	0.3151513522876056	-0.21394655837971674	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	2	before	0	0.31571958874990186	0.31704234168932505	-0.21866416990943263	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	3	before	0	0.31630366592516423	0.31506728054878064	-0.21496423893822977	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	4	before	0	0.31727022812834144	0.31486803995987167	-0.21380896028702215	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	0	after	0	0.37478088506741153	0.4532660772846923	-0.3654925892587762	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	1	after	0	0.4435993167127306	0.4839038876689639	-0.28336730376847014	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	2	after	0	0.5024683708130223	0.5240908609856596	-0.24791442863164773	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	3	after	0	0.41278247332002765	0.44042735253516246	-0.228641694697051	-0.8
200	5	continuous	binary	0.65	0.1	0.0	False	0.001	4	after	0	0.4670050298394787	0.5073075753683614	-0.29411653206360144	-0.8
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	0	before	0	0.3880761989176645	0.3156387322567181	-0.14904324224917367	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	1	before	0	0.38691004427708875	0.3147716393222037	-0.14868145898843627	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	2	before	0	0.38645336697204835	0.31507215630295027	-0.1496635599952945	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	3	before	0	0.3874718198852537	0.3156111655837885	-0.14959683570072144	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	4	before	0	0.3877176870929754	0.3174522488216985	-0.15258594367884787	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	0	after	0	0.49831791943871434	0.5778062373203575	-0.4243746473182624	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	1	after	0	0.30181424585993205	0.3095789860962822	-0.12203501905686914	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	2	after	0	0.42410433900223204	0.4771158337596897	-0.31384883009298836	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	3	after	0	0.45614296814756833	0.5677470758894325	-0.4799343238226386	-0.86
200	5	continuous	binary	0.65	0.1	0.05	False	0.001	4	after	0	0.397727641936891	0.34710751670680245	0.07524363257902553	-0.86
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	0	before	0	0.4472764116113095	0.316909129356426	-0.08874193783734863	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	1	before	0	0.44743603252308667	0.315007318108626	-0.08498505866443834	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	2	before	0	0.4471404611468545	0.3158950888188522	-0.08699280542248657	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	3	before	0	0.44768244602090623	0.31740808194987585	-0.08921434311223239	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	4	before	0	0.44692579783373343	0.3171005464003201	-0.08950272234206047	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	0	after	0	0.7727318442047536	0.7422988093318751	-0.02002441283706078	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	1	after	0	0.5978018252227458	0.615792949368155	-0.2651135030329176	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	2	after	0	0.5420728686462407	0.5756931147766001	-0.300242583044528	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	3	after	0	0.4287469756529726	0.5096376531262122	-0.40436368733539024	-0.82
200	5	continuous	binary	0.65	0.1	0.1	False	0.001	4	after	0	0.5416503517081764	0.5442219786981096	-0.1675488015912434	-0.82
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	0	before	0	0.5005499318701168	0.31700806641868523	-0.022235777531250764	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	1	before	0	0.4998719851643639	0.317539772030727	-0.024212173450131286	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	2	before	0	0.5000844996201822	0.31719442610279847	-0.023234545620137027	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	3	before	0	0.5009297893818309	0.317471807242913	-0.02265661263687182	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	4	before	0	0.49904562074396963	0.316173984756368	-0.022580592365923444	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	0	after	0	0.5417793914527348	0.48121404290946446	0.09833880626481908	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	1	after	0	0.47171904505230844	0.4271392461006381	0.024579403713780555	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	2	after	0	0.30107088737063	0.3388804358509315	-0.21837272235035848	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	3	after	0	0.46316570096812737	0.41608490483163113	0.03877415632171232	-0.83
200	5	continuous	binary	0.65	0.1	0.15000000000000002	False	0.001	4	after	0	0.5194664098056158	0.46298512543078096	0.07642046863309483	-0.83
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	0	before	0	0.5478931831072743	0.31498235333996616	0.05118641384850925	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	1	before	0	0.5476409293912019	0.315193824273101	0.05033216963888644	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	2	before	0	0.5470688006961445	0.3177848203849466	0.043885715784445015	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	3	before	0	0.5480245507442314	0.316897789922112	0.0472984278261447	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	4	before	0	0.5471435505173979	0.3160610656324209	0.04768781996426232	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	0	after	0	0.5394818581772085	0.5360218037690945	-0.17264011935027648	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	1	after	0	0.5803384564689027	0.5736149733201706	-0.17888048886840732	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	2	after	0	0.5973241383966605	0.5305408795192864	0.19716783215336203	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	3	after	0	0.607239465807762	0.5926630532690625	-0.1564619030953631	-0.82
200	5	continuous	binary	0.65	0.1	0.2	False	0.001	4	after	0	0.6370009804776768	0.5959359534377284	-0.019443003780395846	-0.82
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	0	before	0	0.591128857297335	0.316145714261861	0.12453557466892379	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	1	before	0	0.5922701017281062	0.31700620607058244	0.12476279691060725	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	2	before	0	0.5908854413234748	0.31679221404129976	0.12259033169279342	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	3	before	0	0.5918742078326441	0.31619801033739775	0.1258505669225533	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	4	before	0	0.5921804677472255	0.31744898094393625	0.12357524618919025	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	0	after	0	0.6277192502748323	0.5504106657585168	0.37788907003284583	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	1	after	0	0.48106084004755806	0.41787225647485726	0.12552290136013566	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	2	after	0	0.4533886521967792	0.41919479876954896	-0.014371666863156682	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	3	after	0	0.6953421951426224	0.6416871156369578	0.041727534282926845	-0.83
200	5	continuous	binary	0.65	0.1	0.25	False	0.001	4	after	0	0.4929842360279205	0.40693942519752113	0.2823204293960045	-0.83
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	0	before	0	0.6327971857662191	0.3169523851026141	0.21162715171363852	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	1	before	0	0.6320465494043427	0.317469692239462	0.20854392709886713	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	2	before	0	0.6331184558914668	0.31635198141420545	0.21388911000089225	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	3	before	0	0.6321950110314686	0.3171141937600922	0.20977876825241945	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	4	before	0	0.6324276180439793	0.3160531246683283	0.21296109342284109	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	0	after	0	0.6198059344561073	0.5340573705720272	0.2699040460507193	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	1	after	0	0.6549113637605375	0.5701675837955732	0.4170219785681744	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	2	after	0	0.47907435133813187	0.42456545367305293	0.04397811149870423	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	3	after	0	0.6390482066029844	0.5519714775519323	0.43633962184511804	-0.84
200	5	continuous	binary	0.65	0.1	0.30000000000000004	False	0.001	4	after	0	0.6169782869380315	0.5255840116287754	0.3995456420782349	-0.84
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	0	before	0	0.6714944571498866	0.31654496297164847	0.31802397190436216	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	1	before	0	0.6711989287720916	0.31552210738099795	0.31988309395443476	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	2	before	0	0.6701877872233221	0.31716960893236973	0.3121156833392166	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	3	before	0	0.6703918506171122	0.3159515841756278	0.3161067815852927	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	4	before	0	0.6710085491838741	0.31516093569114706	0.32026023308233853	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	0	after	0	0.698087586077962	0.6230121013046457	0.6110086837876849	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	1	after	0	0.6004700255940134	0.4910908404836769	0.30910064626732264	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	2	after	0	0.6621879367123409	0.5605750933117418	0.30206458159688115	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	3	after	0	0.5825901893251012	0.46354930852135107	0.40074007477902	-0.86
200	5	continuous	binary	0.65	0.1	0.35000000000000003	False	0.001	4	after	0	0.5922027749254642	0.4887546897334159	0.24649337640353233	-0.86
